"projectName: Design", "Description of issue 1"
"projectName: 404 einrichten", "Description of issue 2"
"projectName: Footer einrichten", "Description of issue 3"
"projectName: Menü einrichten", "Description of issue 4"
"projectName: Mobile Menü einrichten", "Description of issue 5"
"projectName: Header einrichten", "Description of issue 6"
"projectName: Grundschulung", "Description of issue 7"
"projectName: Finale Schulung", "Description of issue 8"
"projectName: Weiterleitungen", "Description of issue 9"
"projectName: Testing", "Description of issue 10"
"projectName: Going Live", "Description of issue 11"
